station_id,date,latitude,longitude,temperature,humidity
QC_AWS_001,2025-01-01,14.651,121.0495,28.5,85.2
QC_AWS_001,2025-01-02,14.651,121.0495,28.15,82.1
QC_AWS_001,2025-01-03,14.651,121.0495,27.8,78.5
QC_AWS_001,2025-01-04,14.651,121.0495,29.1,83.4
QC_AWS_001,2025-01-05,14.651,121.0495,30.2,88.3
QC_AWS_001,2025-01-06,14.651,121.0495,28.9,84.7
QC_AWS_001,2025-01-07,14.651,121.0495,28.2,79.2
QC_AWS_001,2025-01-08,14.651,121.0495,27.5,81.6
QC_AWS_001,2025-01-09,14.651,121.0495,28.3,84.0
QC_AWS_001,2025-01-10,14.651,121.0495,29.7,86.4
QC_AWS_001,2025-01-11,14.651,121.0495,30.1,83.2
QC_AWS_001,2025-01-12,14.651,121.0495,28.6,81.85
QC_AWS_001,2025-01-13,14.651,121.0495,27.9,80.5
QC_AWS_001,2025-01-14,14.651,121.0495,28.65,82.8
QC_AWS_001,2025-01-15,14.651,121.0495,29.4,85.1
QC_AWS_001,2025-01-16,14.651,121.0495,30.5,87.6
QC_AWS_001,2025-01-17,14.651,121.0495,28.2,83.69999999999999
QC_AWS_001,2025-01-18,14.651,121.0495,27.6,79.8
QC_AWS_001,2025-01-19,14.651,121.0495,28.8,84.2
QC_AWS_001,2025-01-20,14.651,121.0495,29.35,81.5
QC_AWS_001,2025-01-21,14.651,121.0495,29.9,86.7
QC_AWS_001,2025-01-22,14.651,121.0495,30.3,88.1
QC_AWS_001,2025-01-23,14.651,121.0495,28.4,84.15
QC_AWS_001,2025-01-24,14.651,121.0495,27.7,80.2
QC_AWS_001,2025-01-25,14.651,121.0495,28.45,83.5
QC_AWS_001,2025-01-26,14.651,121.0495,29.2,85.8
QC_AWS_001,2025-01-27,14.651,121.0495,30.0,87.3
QC_AWS_001,2025-01-28,14.651,121.0495,28.1,83.4
QC_AWS_001,2025-01-29,14.651,121.0495,27.4,79.5
QC_AWS_001,2025-01-30,14.651,121.0495,28.7,84.0
QC_AWS_002,2025-01-01,14.676,121.0435,27.9,82.5
QC_AWS_002,2025-01-02,14.676,121.0435,28.3,81.15
QC_AWS_002,2025-01-03,14.676,121.0435,28.9,79.8
QC_AWS_002,2025-01-04,14.676,121.0435,29.5,86.2
QC_AWS_002,2025-01-05,14.676,121.0435,30.1,88.7
QC_AWS_002,2025-01-06,14.676,121.0435,28.7,83.5
QC_AWS_002,2025-01-07,14.676,121.0435,27.2,78.3
QC_AWS_002,2025-01-08,14.676,121.0435,28.049999999999997,81.9
QC_AWS_002,2025-01-09,14.676,121.0435,28.9,84.5
QC_AWS_002,2025-01-10,14.676,121.0435,29.6,86.15
QC_AWS_002,2025-01-11,14.676,121.0435,30.4,87.8
QC_AWS_002,2025-01-12,14.676,121.0435,28.2,83.1
QC_AWS_002,2025-01-13,14.676,121.0435,28.0,80.6
QC_AWS_002,2025-01-14,14.676,121.0435,27.8,82.4
QC_AWS_002,2025-01-15,14.676,121.0435,29.1,84.80000000000001
QC_AWS_002,2025-01-16,14.676,121.0435,30.2,87.2
QC_AWS_002,2025-01-17,14.676,121.0435,28.5,84.8
QC_AWS_002,2025-01-18,14.676,121.0435,28.05,79.1
QC_AWS_002,2025-01-19,14.676,121.0435,27.6,81.7
QC_AWS_002,2025-01-20,14.676,121.0435,28.8,84.1
QC_AWS_002,2025-01-21,14.676,121.0435,29.7,86.5
QC_AWS_002,2025-01-22,14.676,121.0435,30.5,88.9
QC_AWS_002,2025-01-23,14.676,121.0435,28.95,83.4
QC_AWS_002,2025-01-24,14.676,121.0435,27.4,80.8
QC_AWS_002,2025-01-25,14.676,121.0435,28.6,83.19999999999999
QC_AWS_002,2025-01-26,14.676,121.0435,29.3,85.6
QC_AWS_002,2025-01-27,14.676,121.0435,30.1,87.1
QC_AWS_002,2025-01-28,14.676,121.0435,29.0,82.7
QC_AWS_002,2025-01-29,14.676,121.0435,27.9,80.3
QC_AWS_002,2025-01-30,14.676,121.0435,28.4,84.2
QC_AWS_003,2025-01-01,14.628,121.0585,29.2,86.8
QC_AWS_003,2025-01-02,14.628,121.0585,28.6,82.85
QC_AWS_003,2025-01-03,14.628,121.0585,27.4,78.9
QC_AWS_003,2025-01-04,14.628,121.0585,28.95,85.3
QC_AWS_003,2025-01-05,14.628,121.0585,30.5,89.1
QC_AWS_003,2025-01-06,14.628,121.0585,29.1,84.2
QC_AWS_003,2025-01-07,14.628,121.0585,27.8,82.85
QC_AWS_003,2025-01-08,14.628,121.0585,28.3,81.5
QC_AWS_003,2025-01-09,14.628,121.0585,29.1,83.8
QC_AWS_003,2025-01-10,14.628,121.0585,29.9,87.2
QC_AWS_003,2025-01-11,14.628,121.0585,30.3,88.6
QC_AWS_003,2025-01-12,14.628,121.0585,28.7,84.15
QC_AWS_003,2025-01-13,14.628,121.0585,27.5,79.7
QC_AWS_003,2025-01-14,14.628,121.0585,28.9,82.1
QC_AWS_003,2025-01-15,14.628,121.0585,29.5,85.9
QC_AWS_003,2025-01-16,14.628,121.0585,30.1,87.5
QC_AWS_003,2025-01-17,14.628,121.0585,29.4,84.1
QC_AWS_003,2025-01-18,14.628,121.0585,27.9,82.94999999999999
QC_AWS_003,2025-01-19,14.628,121.0585,28.5,81.8
QC_AWS_003,2025-01-20,14.628,121.0585,29.2,84.85
QC_AWS_003,2025-01-21,14.628,121.0585,30.0,87.9
QC_AWS_003,2025-01-22,14.628,121.0585,29.1,88.3
QC_AWS_003,2025-01-23,14.628,121.0585,28.2,83.6
QC_AWS_003,2025-01-24,14.628,121.0585,27.6,80.4
QC_AWS_003,2025-01-25,14.628,121.0585,28.8,83.30000000000001
QC_AWS_003,2025-01-26,14.628,121.0585,29.5,86.2
QC_AWS_003,2025-01-27,14.628,121.0585,30.2,87.8
QC_AWS_003,2025-01-28,14.628,121.0585,28.95,82.3
