station_id,date,latitude,longitude,temperature,humidity,lof_score,is_anomaly
QC_AWS_001,2025-01-01,14.651,121.0495,28.5,85.2,-1.1531774813689581,True
QC_AWS_001,2025-01-02,14.651,121.0495,28.15,82.1,-1.0272728870103325,False
QC_AWS_001,2025-01-03,14.651,121.0495,27.8,78.5,-1.1689143475483017,True
QC_AWS_001,2025-01-04,14.651,121.0495,29.1,83.4,-1.0499512275632852,False
QC_AWS_001,2025-01-05,14.651,121.0495,30.2,88.3,-0.9752518822125896,False
QC_AWS_001,2025-01-06,14.651,121.0495,28.9,84.7,-0.9545520753358006,False
QC_AWS_001,2025-01-07,14.651,121.0495,28.2,79.2,-1.2423812837203134,True
QC_AWS_001,2025-01-08,14.651,121.0495,27.5,81.6,-1.0585616481568558,False
QC_AWS_001,2025-01-09,14.651,121.0495,28.3,84.0,-1.0200542390505425,False
QC_AWS_001,2025-01-10,14.651,121.0495,29.7,86.4,-1.0296342179860125,False
QC_AWS_001,2025-01-11,14.651,121.0495,30.1,83.2,-2.608550551079775,True
QC_AWS_001,2025-01-12,14.651,121.0495,28.6,81.85,-1.0780380973841073,False
QC_AWS_001,2025-01-13,14.651,121.0495,27.9,80.5,-0.9664464239750176,False
QC_AWS_001,2025-01-14,14.651,121.0495,28.65,82.8,-1.0085989649103884,False
QC_AWS_001,2025-01-15,14.651,121.0495,29.4,85.1,-1.0002378800161627,False
QC_AWS_001,2025-01-16,14.651,121.0495,30.5,87.6,-1.0226383251027231,False
QC_AWS_001,2025-01-17,14.651,121.0495,28.2,83.69999999999999,-1.026090622432363,False
QC_AWS_001,2025-01-18,14.651,121.0495,27.6,79.8,-0.9831952295089208,False
QC_AWS_001,2025-01-19,14.651,121.0495,28.8,84.2,-0.9531419244879495,False
QC_AWS_001,2025-01-20,14.651,121.0495,29.35,81.5,-1.7403261022376644,True
QC_AWS_001,2025-01-21,14.651,121.0495,29.9,86.7,-1.0453387065475357,False
QC_AWS_001,2025-01-22,14.651,121.0495,30.3,88.1,-0.9905972381250029,False
QC_AWS_001,2025-01-23,14.651,121.0495,28.4,84.15,-1.0183710670682804,False
QC_AWS_001,2025-01-24,14.651,121.0495,27.7,80.2,-0.9682537232501843,False
QC_AWS_001,2025-01-25,14.651,121.0495,28.45,83.5,-1.0006478079322119,False
QC_AWS_001,2025-01-26,14.651,121.0495,29.2,85.8,-1.0003098355951618,False
